No. of LOC, Occurrences
ArgoUML-0.34-src,190
Compiere_330_Source,21
FitLibrary20100806,40
JGroups-2,3
Vuze_4812_source,37
antlr4-4.0,4
aoisrc281,36
apache-ant-1.8.4,10
aspectj-1.6.9-src,44
batik-src-1.7,1092
c-jdbc-2,9
castor-1,955
cayenne-3,39
checkstyle-src-5,220
cobertura-1,7
columba-1,35
commons-collections-3,3
db-derby-10,2144
displaytag-1,1
drawswf-src-1,4
drjava-stable-20100913-r5387-src,4
eXoPortal-v1,8
findbugs-1,3
freecol-0,10
freemind-src-0,14
ganttproject-2,7
geotools-2,113
hadoop-1,36
heritrix-1,6
hibernate-release-4,1508
hsqldb-2,32
htmlunit-2,1
iReport-3,59
iText-src-5,42
informa-0,14
jFin_DateMath_R1_0_1_src,1
jOggPlayer114s,3
jag-6,15
james-2,1
jasml_0,39
jasperreports-3,21
jboss-5,57
jchempaint-src-3,124
jedit4,13
jena-2,36
jext-sources-5,13
jfreechart-1,55
jgraph-latest-bsd-src,5
jgraphpad-5,3
jgrapht-0,2
jmoney-0,9
jparse,121
junit-4,15
shiftone-jrat-0,1
